"id","name","description"
main_services_seo,"SEO","The SEO is used for improving website visibility on search engines."
main_services_sea,"SEA","The SEA is used for managing paid search campaigns."
main_services_develop,"Develop","The develop is used for creating and maintaining digital platforms."
main_services_media,"Media","The media is used for managing content distribution across channels."
main_services_creativity,"Creativity","The creativity is used for crafting innovative marketing solutions."
main_services_video_production,"Video Production","The video production is used for creating high-quality video content."
main_services_content_creation,"Content Creation","The content creation is used for developing engaging materials."
main_services_copywriting,"Copywriting","The copywriting is used for crafting persuasive marketing text."
main_services_social_media_management,"Social Media Management","The social media management is used for building an online presence."
main_services_email_marketing,"Email Marketing","The email marketing is used for engaging audiences via email campaigns."
main_services_affiliate_marketing,"Affiliate Marketing","The affiliate marketing is used for driving sales through partnerships."
main_services_influencer_marketing,"Influencer Marketing","The influencer marketing is used for leveraging influencers to reach audiences."
main_services_brand_strategy,"Brand Strategy","The brand strategy is used for building a strong brand identity."
main_services_web_design,"Web Design","The web design is used for creating functional and attractive websites."
main_services_app_development,"App Development","The app development is used for designing mobile and web applications."
main_services_ecommerce_solutions,"E-commerce Solutions","The e-commerce solutions are used for developing online stores."
main_services_graphic_design,"Graphic Design","The graphic design is used for creating visual branding materials."
main_services_ux_ui_design,"UX/UI Design","The UX/UI design is used for enhancing user interfaces and experiences."
main_services_data_analytics,"Data Analytics","The data analytics is used for analyzing and interpreting data."
main_services_digital_strategy,"Digital Strategy","The digital strategy is used for achieving marketing goals."
main_services_paid_advertising,"Paid Advertising","The paid advertising is used for optimizing ad campaigns."
main_services_public_relations,"Public Relations (PR)","The public relations is used for managing a positive brand image."
main_services_photography,"Photography","The photography is used for professional visual content creation."
main_services_3d_modeling,"3D Modeling","The 3D modeling is used for creating realistic visualizations."
main_services_voiceover_production,"Voiceover Production","The voiceover production is used for enhancing audio-visual content."
main_services_blockchain,"Blockchain","The blockchain is used for secure and decentralized solutions."
main_services_ai,"AI","The AI is used for automation and predictive insights."
main_services_metaverse_development,"Metaverse Development","The metaverse development is used for building immersive virtual experiences."
main_services_cybersecurity,"Cybersecurity","The cybersecurity is used for protecting digital assets."
main_services_cloud_solutions,"Cloud Solutions","The cloud solutions are used for scalable digital infrastructure."
main_services_machine_learning,"Machine Learning","The machine learning is used for developing adaptive and predictive systems."
main_services_iot_solutions,"IoT Solutions","The IoT solutions are used for creating connected and automated environments."
main_services_vr_ar,"VR/AR","The VR/AR is used for designing immersive digital experiences."
main_services_programmatic_advertising,"Programmatic Advertising","The programmatic advertising is used for automated ad placements."
main_services_growth_hacking,"Growth Hacking","The growth hacking is used for achieving rapid growth and scalability."
main_services_crm_integration,"CRM Integration","The CRM integration is used for managing customer relationships effectively."
main_services_digital_transformation,"Digital Transformation","The digital transformation is used for modernizing business processes."
main_services_training_and_consulting,"Training and Consulting","The training and consulting are used for improving digital capabilities."
